ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,โรงพยาบาลเฉพาะทาง,จำนวนแพทย์,ค่าบริการทางการแพทย์,อัตรา IPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,AVG ต่อบิล
เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,None,117,100,0.24324324324324326,9,0.0,7300.0,52270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5947.214285714285,0.0,0.0,0.0,11244.5
เลิดสิน,None,None,Public,609,1600,9,None,185,100,0.14871794871794872,29,0.0,10325.0,0.0,0.0,19011.0,0.0,0.0,5000.0,0.0,0.0,18634.166666666668,12506.0,0.0,0.0,0.0,13870.275862068966
เวชการุณย์รัศมิ์,None,None,Public,90,5000,9,None,50,140,0.2857142857142857,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,13193.0,0.0,0.0,0.0,0.0,0.0,7896.5
เวชศาสตร์เขตร้อน,None,None,Public,106,1700,3,None,41,100,0.043010752688172046,8,10540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9992.25,0.0,9951.0,3395.0,0.0,0.0,7650.0625
กลาง,None,None,Public,475,3000,9,None,116,30,0.14193548387096774,22,0.0,0.0,0.0,0.0,0.0,11357.75,0.0,2355.0,5077.25,25692.25,31218.333333333332,1312.5,0.0,0.0,0.0,18304.545454545456
การไฟฟ้านครหลวง,None,None,Public,80,0,6,None,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
จุฬาภรณ์,None,None,Public,115,3500,8,None,445,100,0.15500945179584122,82,17270.666666666668,26145.12361111111,16868.525,0.0,10424.0,12164.0,0.0,11384.166666666666,0.0,11707.791666666666,38616.5,21331.363636363636,3794.3333333333335,0.0,0.0,20750.313414634147
จุฬาลงกรณ์,Top,None,Public,1485,3500,9,None,435,20,0.14882577826324414,545,32182.375,42445.14869281046,35442.08,41950.833333333336,41417.2,37951.27826086957,53942.0,71911.28571428571,35481.098039215685,34584.93258426966,85296.2,54867.95121951219,23562.875,102383.0,87697.0,44393.13752293578
ตากสิน,None,None,Public,418,1800,9,None,197,50,0.08695652173913043,2,0.0,8645.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12637.5,0.0,0.0,0.0,10641.5
ตำรวจ,None,None,Public,485,1600,8,None,363,50,0.3131868131868132,57,2353.0,22034.083333333332,0.0,38367.583333333336,10880.0,22494.166666666668,0.0,14221.5,60613.75,23185.6,55710.42857142857,21247.5,23734.416666666668,40835.0,58601.5,33437.43421052631
