ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,โรงพยาบาลเฉพาะทาง,จำนวนแพทย์,ค่าบริการทางการแพทย์,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21,AVG ต่อบิล
เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,None,117,100,0.7567567567567568,28,0.0,270.0,600.1,0.0,0.0,805.5,2040.0,700.5,870.0,644.0,7685.0,0.0,0.0,724.0,0.0,1204.8035714285713
เลิดสิน,None,None,Public,609,1600,9,None,185,100,0.8512820512820513,166,0.0,0.0,0.0,636.8333333333334,0.0,29.655913978494624,916.0909090909091,0.0,727.0,982.3513513513514,550.0,1020.0,0.0,667.1428571428571,0.0,395.71084337349396
เวชการุณย์รัศมิ์,None,None,Public,90,5000,9,None,50,140,0.7142857142857143,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.8333333333334,0.0,514.7
เวชศาสตร์เขตร้อน,None,None,Public,106,1700,3,None,41,100,0.956989247311828,178,474.275,0.0,0.0,1837.4117647058824,234.25,0.0,2350.0,630.703125,1203.4444444444443,809.3863636363636,3818.0,432.9166666666667,373.6666666666667,0.0,489.25,742.0449438202247
กลาง,None,None,Public,475,3000,9,None,116,30,0.8580645161290322,133,952.6875,0.0,0.0,5246.666666666667,0.0,2076.02152173913,4996.728260869565,825.0,1261.4285714285713,1220.4125,599.6666666666666,563.5,0.0,1090.4,2370.0,2270.4886466165412
การไฟฟ้านครหลวง,None,None,Public,80,0,6,None,29,0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,897.5
จุฬาภรณ์,None,None,Public,115,3500,8,None,445,100,0.8468809073724007,448,0.0,2914.7985074626868,1659.9285714285713,1203.6842105263158,3972.8571428571427,4327.895833333333,2540.189393939394,554.53125,2022.0760869565217,830.0431034482758,1458.4883720930231,1575.0648148148148,0.0,1093.9666666666667,506.0769230769231,2032.454799107143
จุฬาลงกรณ์,Top,None,Public,1485,3500,9,None,435,20,0.8511742217367558,3117,3606.6190476190477,3311.3756906077347,3559.891891891892,1991.7896253602305,3972.06,1987.5645161290322,2120.785714285714,1670.5474137931035,3264.0848623853212,3222.1482479784368,1569.2216066481994,2210.793388429752,802.9230769230769,1781.5555555555557,2002.7142857142858,2521.16201475778
ตากสิน,None,None,Public,418,1800,9,None,197,50,0.9130434782608695,21,5.75,0.0,0.0,9070.0,4048.75,0.0,0.0,343.75,0.0,2921.4285714285716,8728.386666666667,0.0,0.0,0.0,0.0,3921.471904761905
ตำรวจ,None,None,Public,485,1600,8,None,363,50,0.6868131868131868,125,0.0,4541.458333333333,740.0,1449.1911764705883,5541.0,553.0833333333334,1242.58,0.0,561.4285714285714,1263.5869565217392,3004.0,1997.875,930.0,185.0,0.0,1645.016
