ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,โรงพยาบาลเฉพาะทาง,จำนวนแพทย์,ค่าบริการทางการแพทย์,อัตรา IPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20
เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,None,117,100,0.2432432432432432,9,0.0,7300.0,52270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5947.214285714285,0.0,0.0,0.0
เมดพาร์ค,Top,None,Private,205,11000,9,None,394,430,0.1132075471698113,12,19552.485,71584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169884.8633333333,25788.5,0.0,77640.5,0.0,0.0
เลิดสิน,None,None,Public,609,1600,9,None,185,100,0.1487179487179487,29,0.0,10325.0,0.0,0.0,19011.0,0.0,0.0,5000.0,0.0,0.0,18634.16666666667,12506.0,0.0,0.0,0.0
เวชการุณย์รัศมิ์,None,None,Public,90,5000,9,None,50,140,0.2857142857142857,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,13193.0,0.0,0.0,0.0,0.0,0.0
เวชศาสตร์เขตร้อน,None,None,Public,106,1700,3,None,41,100,0.043010752688172,8,10540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9992.25,0.0,9951.0,3395.0,0.0,0.0
กล้วยน้ำไท 1,None,None,Private,160,6650,8,None,85,100,0.0623916811091854,36,19559.33333333333,105328.75,0.0,0.0,0.0,6177.0,0.0,31313.4,15423.8,38247.71428571428,0.0,53979.0,40906.0,29064.5,96436.0
กลาง,None,None,Public,475,3000,9,None,116,30,0.1419354838709677,22,0.0,0.0,0.0,0.0,0.0,11357.75,0.0,2355.0,5077.25,25692.25,31218.33333333333,1312.5,0.0,0.0,0.0
การไฟฟ้านครหลวง,None,None,Public,80,0,6,None,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
คลองตัน,None,None,Private,30,2000,4,None,21,100,0.2162162162162162,8,17553.33333333333,0.0,0.0,0.0,5377.666666666667,0.0,0.0,0.0,7532.0,0.0,0.0,0.0,17478.0,0.0,0.0
คามิลเลียน,None,None,Private,120,4400,7,None,146,100,0.0213618157543391,16,20248.5,61761.0,0.0,0.0,0.0,0.0,0.0,0.0,12598.0,0.0,37935.0,19701.0,0.0,0.0,15345.55555555556
จุฬาภรณ์,None,None,Public,115,3500,8,None,445,100,0.1550094517958412,82,17270.66666666667,26145.12361111111,16868.525,0.0,10424.0,12164.0,0.0,11384.16666666667,0.0,11707.79166666667,38616.5,21331.36363636364,3794.333333333333,0.0,0.0
ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,8,None,384,150,0.0935672514619883,176,22408.85294117647,26576.0,0.0,22546.0,12184.0,48322.0,2190.941176470588,0.0,16744.81333333333,23867.07692307692,32850.0,16027.5,28653.33333333333,13584.5,7716.0
ตากสิน,None,None,Public,418,1800,9,None,197,50,0.0869565217391304,2,0.0,8645.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12637.5,0.0,0.0,0.0
ตำรวจ,None,None,Public,485,1600,8,None,363,50,0.3131868131868132,57,2353.0,22034.08333333333,0.0,38367.58333333334,10880.0,22494.16666666667,0.0,14221.5,60613.75,23185.6,55710.42857142857,21247.5,23734.41666666667,40835.0,58601.5
ทหารเรือกรุงเทพ,None,None,Public,40,2200,3,None,10,50,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ทหารผ่านศึก,None,None,Public,277,1500,9,None,101,50,0.2075471698113207,11,0.0,10550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3505.5,8050.0,0.0,4772.0,0.0,0.0
ทหารอากาศ (สีกัน) พอ.,None,None,Public,150,2000,5,None,31,50,0.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4036.0,0.0,0.0,0.0,0.0
ธนบุรี 2,None,THG,Private,95,5350,9,None,222,140,0.0774719673802242,228,23431.10666666667,37153.75,0.0,84177.5,0.0,16888.59090909091,22635.2,31131.0,27813.60974358974,56812.52677419355,34163.58333333334,50964.390625,13126.68842105263,68632.29,86963.125
ธนบุรี บำรุงเมือง,None,THG,Private,1400,5620,8,None,86,200,0.08,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58483.75,0.0,0.0,32840.6,0.0,94888.0
นพรัตนราชธานี,None,None,Public,609,1400,9,None,128,150,0.1590909090909091,14,0.0,5846.0,0.0,0.0,0.0,19497.0,0.0,61026.5,12720.0,0.0,7236.0,0.0,0.0,2200.0,0.0
นวเวช,None,None,Private,99,4000,8,None,240,100,0.0333333333333333,1,5039.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
นวมินทร์,None,None,Private,180,3000,9,None,92,100,0.1,4,0.0,100028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30331.0,0.0,1500.0
นันอา,None,None,Private,30,0,5,None,14,0,0.2142857142857142,3,0.0,0.0,0.0,0.0,0.0,34769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
บางไผ่,None,None,Private,100,3530,9,None,8,100,0.032258064516129,6,40392.0,0.0,0.0,0.0,0.0,0.0,0.0,9676.0,9194.1,0.0,0.0,101167.5,0.0,0.0,0.0
บางนา 1,None,None,Private,101,2700,7,None,84,100,0.0358565737051792,9,0.0,0.0,0.0,0.0,0.0,25155.33333333333,0.0,24262.0,0.0,64759.0,0.0,0.0,0.0,0.0,142573.0
บางปะกอก 1,None,BHGRT,Private,120,3200,7,None,171,100,0.0689655172413793,126,25394.7275,57975.33333333334,0.0,10609.5,26043.25,4696.0,21070.44,29441.75,29885.24448275862,31557.80125,16144.44,50231.17857142857,29929.0905882353,0.0,33259.4375
บางปะกอก 8,None,BHGRT,Private,200,3200,9,None,219,80,0.1298701298701298,40,12361.71875,0.0,0.0,0.0,0.0,0.0,10732.58333333333,28428.66666666667,6908.34375,10115.625,0.0,22249.5,14731.91666666667,0.0,10926.4375
บางมด,None,None,Private,203,4000,9,None,71,200,0.07773851590106,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41093.0,13583.0,8555.0,173613.0,0.0,0.0,0.0,111447.5
บ้านแพ้ว สาขาแจ้งวัฒนะ,None,None,Public,10,2300,2,None,17,50,0.1666666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
บ้านแพ้วสาขาสาทร,None,None,Public,54,2300,6,None,47,50,0.217391304347826,10,0.0,0.0,0.0,0.0,0.0,32182.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
