ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,โรงพยาบาลเฉพาะทาง,จำนวนแพทย์,ค่าบริการทางการแพทย์,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
เกษมราษฎร์รามคำแหง : BCH,None,BCH,Private,139,3800,8,None,101,150,0.95897903372835,1052,1135.5,0.0,1500.0,1029.834782608696,1100.0,1495.478260869565,1100.784810126582,1246.383966244726,1408.345454545454,1373.813432835821,1210.0,1049.390243902439,1774.4,1605.307692307692,942.3333333333334
เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,None,117,100,0.7567567567567568,28,0.0,270.0,600.1,0.0,0.0,805.5,2040.0,700.5,870.0,644.0,7685.0,0.0,0.0,724.0,0.0
เลิดสิน,None,None,Public,609,1600,9,None,185,100,0.8512820512820513,166,0.0,0.0,0.0,636.8333333333334,0.0,29.65591397849462,916.0909090909092,0.0,727.0,982.3513513513514,550.0,1020.0,0.0,667.1428571428571,0.0
เวชการุณย์รัศมิ์,None,None,Public,90,5000,9,None,50,140,0.7142857142857143,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.8333333333334,0.0
เวชศาสตร์เขตร้อน,None,None,Public,106,1700,3,None,41,100,0.956989247311828,178,474.275,0.0,0.0,1837.411764705882,234.25,0.0,2350.0,630.703125,1203.444444444444,809.3863636363636,3818.0,432.9166666666667,373.6666666666667,0.0,489.25
แพทย์ปัญญา,None,None,Private,125,2150,9,None,22,100,0.824,103,953.8571428571428,0.0,0.0,0.0,0.0,22.51851851851852,1622.5,873.7368421052631,1021.428571428571,904.0,435.75,855.8333333333334,993.5,1829.333333333333,216.0
กล้วยน้ำไท 1,None,None,Private,160,6650,8,None,85,100,0.9376083188908144,541,1098.204545454545,800.0,0.0,1224.214285714286,812.4,931.9333333333332,1305.75,1105.673913043478,1226.818181818182,1221.507692307692,1206.683333333333,852.0714285714286,0.0,1853.326086956522,1150.0
กลาง,None,None,Public,475,3000,9,None,116,30,0.8580645161290322,133,952.6875,0.0,0.0,5246.666666666667,0.0,2076.02152173913,4996.728260869565,825.0,1261.428571428571,1220.4125,599.6666666666666,563.5,0.0,1090.4,2370.0
การไฟฟ้านครหลวง,None,None,Public,80,0,6,None,29,0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0
คลองตัน,None,None,Private,30,2000,4,None,21,100,0.7837837837837838,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0
คามิลเลียน,None,None,Private,120,4400,7,None,146,100,0.9786381842456608,733,1161.571428571429,0.0,500.0,1321.034482758621,1598.2,1287.25,1191.071428571429,1016.183823529412,1084.181818181818,1045.092105263158,1065.105263157895,1129.51724137931,907.375,1261.833333333333,717.1449275362319
ซีจีเอชสายไหม,None,None,Private,100,3890,8,None,384,50,0.9361820199778024,1687,1076.970297029703,1354.333333333333,0.0,1446.415841584158,852.7272727272727,1147.531914893617,1463.948979591837,1466.092748735244,1346.295918367347,1316.976047904192,1264.105263157895,1085.612068965517,2079.636363636364,1718.836257309942,579.5
ตำรวจ,None,None,Public,485,1600,8,None,363,50,0.6868131868131868,125,0.0,4541.458333333333,740.0,1449.191176470588,5541.0,553.0833333333334,1242.58,0.0,561.4285714285714,1263.586956521739,3004.0,1997.875,930.0,185.0,0.0
ทหารเรือกรุงเทพ,None,None,Public,40,2200,3,None,10,50,1.0,13,0.0,0.0,0.0,0.0,0.0,0.0,1958.423076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ทหารผ่านศึก,None,None,Public,277,1500,9,None,101,50,0.7924528301886793,42,0.0,0.0,0.0,427.5,0.0,2488.0,435.0,3441.8125,0.0,3057.863636363636,0.0,860.0,0.0,2559.375,0.0
ทหารอากาศ (สีกัน) พอ.,None,None,Public,150,2000,5,None,31,50,0.96,24,0.0,0.0,0.0,1422.5,0.0,0.0,0.0,0.0,0.0,220.0,0.0,1207.5,137.9375,212.3888888888889,0.0
ธนบุรี บำรุงเมือง,None,THG,Private,1400,5620,8,None,86,200,0.92,69,3056.666666666667,0.0,0.0,0.0,0.0,2650.0,5511.0,2966.241379310345,2372.571428571428,2736.333333333333,0.0,1750.0,0.0,2542.666666666667,850.0
นพรัตนราชธานี,None,None,Public,609,1400,9,None,128,150,0.8409090909090909,74,0.0,0.0,0.0,1692.307692307692,0.0,1144.625,1763.636363636364,558.0,1359.833333333333,2063.833333333333,4340.0,1591.642857142857,62.6875,778.0,0.0
นวเวช,None,None,Private,99,4000,8,None,240,100,0.9666666666666668,29,0.0,0.0,0.0,2000.0,0.0,1322.588333333333,0.0,433.5714285714286,1350.5,0.0,0.0,0.0,0.0,589.6,0.0
นวมินทร์,None,None,Private,180,3000,9,None,92,100,0.9,36,1016.0,0.0,0.0,0.0,0.0,0.0,795.0,880.375,2862.5,655.1,0.0,920.75,0.0,2880.666666666667,0.0
นวมินทร์ 9,None,None,Private,245,3280,9,None,179,100,0.911264367816092,1982,1047.45871559633,937.4545454545456,1236.0,1185.591623036649,668.7777777777778,936.9245283018868,1375.145348837209,977.3513513513514,1297.339869281046,991.0350877192982,864.78125,923.3699421965318,955.0,1527.082949308756,667.6923076923077
นันอา,None,None,Private,30,0,5,None,14,0,0.7857142857142857,11,0.0,0.0,0.0,0.0,0.0,1265.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
บางไผ่,None,None,Private,100,3530,9,None,8,100,0.967741935483871,180,769.8571428571429,0.0,0.0,1558.605555555556,0.0,4002.37,1055.071666666667,873.2503333333333,1621.482222222222,1079.908181818182,1251.0,853.9315384615385,541.0,1162.826829268293,0.0
บางนา 1,None,None,Private,101,2700,7,None,84,100,0.9641434262948207,242,991.9473684210526,0.0,0.0,700.0,745.0,90.76148148148148,0.0,924.04,1054.545454545455,642.6315789473684,472.0,688.2727272727273,0.0,1083.636363636364,0.0
บางปะกอก 1,None,BHGRT,Private,120,3200,7,None,171,100,0.9310344827586208,1701,1183.511682242991,0.0,1289.98,1482.902777777778,1374.75,1161.74375,1616.210526315789,1256.793198529412,1892.927734375,1498.506756756757,1339.380136986301,1224.928921568627,1075.666666666667,1541.445422535211,0.0
บางปะกอก 8,None,BHGRT,Private,200,3200,9,None,219,80,0.8701298701298701,268,1152.01,0.0,818.0,1896.729166666667,900.0,1045.947916666667,1104.0,970.698275862069,1449.884615384616,1028.583333333333,991.5454545454544,889.1911764705883,1500.0,1698.114583333333,0.0
บางมด,None,None,Private,203,4000,9,None,71,200,0.92226148409894,261,1311.944444444444,1832.75,1750.0,1467.952380952381,450.0,634.4342105263158,1317.777777777778,1235.894736842105,1330.722222222222,981.3,1389.4,899.25,925.0,1408.1,0.0
บ้านแพ้ว สาขาแจ้งวัฒนะ,None,None,Public,10,2300,2,None,17,50,0.8333333333333334,5,0.0,0.0,0.0,0.0,0.0,1379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
บ้านแพ้วสาขาสาทร,None,None,Public,54,2300,6,None,47,50,0.782608695652174,36,0.0,0.0,0.0,1327.727272727273,0.0,1532.444444444444,6410.0,313.0,1150.0,1440.0,0.0,0.0,0.0,0.0,2125.0
ประชาพัฒน์,None,None,Private,100,4490,9,None,35,100,0.8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0
ประสานมิตร,None,None,Public,0,3000,2,None,0,50,0.6896551724137931,20,0.0,3173.75,3263.333333333333,0.0,0.0,867.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
พระราม 2,None,None,Private,109,4000,7,None,15,135,0.896551724137931,26,861.0,0.0,0.0,0.0,0.0,1791.666666666667,1570.0,1368.333333333333,1226.0,523.3333333333334,0.0,1080.0,0.0,3377.25,0.0
ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,None,None,Private,619,2000,9,None,221,50,0.9133858267716536,232,1933.5,1784.25,1321.5,1220.727272727273,1074.62962962963,1182.6875,1105.857142857143,1027.3,1528.8625,763.4137931034483,425.0,1628.0,0.0,1426.730769230769,755.0
มเหสักข์,None,None,Private,132,3580,9,None,44,100,0.7777777777777778,14,1045.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354.875,1453.0,0.0,780.0,0.0,0.0,0.0
มิชชั่น,None,None,Private,120,4000,6,None,107,150,0.9333333333333332,658,1082.838709677419,1575.0,0.0,1592.104651162791,1200.0,930.5,1468.848484848485,1243.528,1592.888888888889,1209.784090909091,1339.434782608696,1235.233333333333,1630.916666666667,1527.342857142857,894.1428571428571
มิตรประชา,None,None,Private,148,1800,9,None,55,120,0.9342105263157896,71,997.2222222222222,0.0,0.0,1000.0,950.0,1232.0,1066.0,1150.714285714286,1143.333333333333,790.0,890.0,1243.333333333333,0.0,1559.782608695652,1000.0
รัชดา-ท่าพระ,None,None,Public,25,4000,8,None,10,100,0.9,36,928.0,0.0,0.0,0.0,0.0,650.0,1300.0,787.8571428571429,1001.25,898.75,675.0,653.3333333333334,920.0,0.0,0.0
ราชพิพัฒน์,None,None,Public,277,5000,8,None,200,100,0.8333333333333334,5,0.0,0.0,0.0,450.0,0.0,0.0,2433.75,0.0,0.0,0.0,0.0,0.0,0.0,843.5,0.0
ราชวิถี,Top,None,Private,1031,4300,9,None,347,100,0.676,169,2520.0,1396.9,981.0,1228.939393939394,347.0,498.6153846153846,2082.666666666667,277.5,415.5,2952.5,1106.928571428571,1854.0,585.25,780.0,0.0
ราษฎร์บูรณะ,None,None,Public,124,3950,9,None,46,200,0.8817391304347826,507,1011.04347826087,800.0,850.0,1406.425,933.0,1470.678571428571,1127.666666666667,1008.507246376812,1398.75,892.0967741935484,807.3541666666666,859.0,1727.5,1380.052631578947,0.0
วชิรพยาบาล,Top,None,Public,740,2400,9,None,341,50,0.5577689243027888,161,0.0,509.8,685.6666666666666,1175.166666666667,506.75,2016.6,3254.0,861.3333333333334,436.4,1106.93,954.7727272727273,1540.137254901961,0.0,2397.5,0.0
วิชัยเวช แยกไฟฉาย,None,Vichaivej,Private,49,3250,9,None,7,110,0.900990099009901,182,848.6666666666666,0.0,0.0,880.0,530.0,1750.971935483871,0.0,1155.787878787879,1320.909090909091,1149.583333333333,790.0,739.4285714285714,710.0,1381.666666666667,0.0
วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),None,Vichaivej,Private,172,4200,8,None,137,80,0.8792569659442725,568,1184.5625,2020.0,1240.0,1126.770833333333,1295.857142857143,882.1428571428571,1420.2,1166.558333333333,1508.954545454545,1352.109090909091,1154.34375,1177.162790697674,659.75,1916.313432835821,665.0
วิมุต,None,None,Private,236,5900,7,None,232,150,0.9586466165413534,255,1361.945,0.0,0.0,0.0,980.0,2099.429076923077,2116.0,912.020625,2459.230769230769,1889.396470588236,1204.48,1743.285714285714,0.0,2004.675384615384,4998.0
สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,None,None,Public,414,2200,4,None,173,150,0.7553191489361702,65,719.3333333333334,0.0,0.0,2209.428571428572,0.0,2099.6,3901.75,343.359375,150.0,1013.4,1133.0,1107.5,0.0,64.64285714285714,0.0
สมิติเวชไชน่าทาวน์ : BDMS,None,BDMS,Private,31,6190,6,None,85,300,0.8802395209580839,147,1323.388333333333,750.0,0.0,2150.0,0.0,4646.961428571429,2200.455833333333,1616.994705882353,3251.285,2049.23275862069,1369.2475,1738.649090909091,0.0,1877.857619047619,1040.75
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,None,None,Public,60,1400,7,None,45,30,0.907563025210084,108,0.0,0.0,0.0,5608.0,350.0,1724.728064516129,2241.285714285714,992.6363636363636,11371.66666666667,703.5,0.0,0.0,0.0,0.0,0.0
สหวิทยาการมะลิ,None,None,Private,19,4800,6,None,10,150,0.9666666666666668,29,0.0,0.0,0.0,0.0,0.0,1433.5,799.1666666666666,523.8333333333334,0.0,1000.0,0.0,0.0,0.0,3407.5,0.0
สายหยุด,None,None,Private,6,0,4,None,4,200,1.0,11,917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.6666666666666,0.0,310.0,1072.0,0.0,0.0,0.0
สินแพทย์ รามอินทรา,None,VIBHA,Private,287,3100,9,None,258,150,0.8810572687224669,200,1586.833333333333,0.0,2144.0,2710.0,0.0,1456.923076923077,1368.333333333333,1502.083333333333,1570.615384615384,1824.190476190476,1337.857142857143,1259.5,600.0,2484.444444444444,1594.0
สิรินธร,None,None,Private,305,2000,6,None,144,150,0.5238095238095238,11,0.0,0.0,0.0,0.0,0.0,2980.0,0.0,0.0,0.0,1330.125,0.0,537.5,0.0,1636.833333333333,0.0
สุขสวัสดิ์,None,None,Private,100,4200,8,None,49,50,0.8333333333333334,25,0.0,0.0,0.0,0.0,0.0,2078.230769230769,0.0,1145.0,1685.93,1347.571428571429,0.0,720.0,0.0,1672.9,0.0
อินทรารัตน์,None,None,Private,152,3800,8,None,21,150,0.959349593495935,118,0.0,0.0,0.0,0.0,0.0,1283.983870967742,0.0,1100.0,0.0,36.53658536585366,0.0,0.0,0.0,1580.25,0.0
